as_of_date,target_date,acute_load_7,chronic_load_28,atl_ctl_ratio,days_since_last_hard,streak_length,trained_today,trained_hard_today,trained_days_2,trained_both_days_2,trained_days_7,trained_days_30,moving_time_acute_7,moving_time_chronic_28,today_relative_effort,dow_train_rate,month_train_rate,day_of_week,trained_last_weekend,month,season,days_since_last_long_ride,forecast_temp_high,forecast_temp_low,forecast_precip_probability,forecast_rain_expected,forecast_wind_speed,forecast_temp_high_vs_seasonal,forecast_temp_low_vs_seasonal,forecast_precip_probability_vs_seasonal,forecast_wind_speed_vs_seasonal,forecast_precip_morning,forecast_precip_midday,forecast_precip_evening,will_train_tomorrow,next_day_relative_effort
2025-12-04,2025-12-05,1.655011434660068,7.861345518993548,0.2105252123394713,13,0,0,0,1.0,0,1.0,10.0,583.4517963850769,1561.3543604070758,0.0,0.4838709677419355,0.4,4,False,12,0,10,12.1,6.3,41.66666666666667,1,31.8,4.1800653594771235,4.316993464052287,5.147058823529413,17.543790849673204,75.0,71.42857142857143,20.0,1,6.0
2025-12-05,2025-12-06,2.741258575995051,7.732976862511234,0.35448943204323063,14,1,1,0,1.0,0,2.0,11.0,599.3388472888078,1498.2954389996912,6.0,0.45161290322580644,0.4166666666666667,5,False,12,0,11,10.3,7.5,37.5,1,32.3,2.4679738562091513,5.55,0.9395424836601336,17.971241830065356,50.0,28.57142857142857,20.0,0,0.0
2025-12-06,2025-12-07,2.055943931996288,7.199668113372528,0.285560931368158,15,0,0,0,1.0,0,2.0,11.0,449.5041354666058,1394.964719068678,0.0,0.2903225806451613,0.40540540540540543,6,False,12,0,12,11.4,7.1,54.166666666666664,1,23.6,3.6009803921568633,5.18202614379085,17.592592592592588,9.226470588235298,100.0,85.71428571428571,0.0,0,0.0
2025-12-07,2025-12-08,1.5419579489972162,6.7031392779675265,0.23003519471323838,16,0,0,0,0.0,0,2.0,10.0,337.12810159995433,1298.7602556846311,0.0,0.3387096774193548,0.39473684210526316,0,False,12,0,13,12.3,8.2,87.5,1,28.8,4.52843137254902,6.290849673202613,50.8578431372549,14.352614379084969,25.0,100.0,100.0,0,0.0
2025-12-08,2025-12-09,1.1564684617479122,6.24085381052149,0.18530612907455316,17,0,0,0,0.0,0,2.0,9.0,252.84607619996575,1209.1905828787944,0.0,0.3870967741935484,0.38461538461538464,1,False,12,0,14,10.5,7.5,62.5,1,16.7,2.772549019607845,5.593464052287581,25.136165577342048,2.1735294117647044,75.0,14.285714285714285,60.0,1,51.0
2025-12-09,2025-12-10,13.617351346310935,9.327691478761388,1.4598844073388206,0,1,1,1,1.0,0,3.0,9.0,2842.634557149974,1857.6601978526705,51.0,0.5483870967741935,0.4,2,False,12,0,0,13.3,10.2,100.0,1,32.2,5.589869281045751,8.323856209150327,62.540849673202615,17.558823529411768,100.0,100.0,100.0,0,0.0
2025-12-10,2025-12-11,10.213013509733202,8.684402411260603,1.1760179948007166,1,0,0,0,1.0,0,2.0,9.0,2131.975917862481,1729.545701449038,0.0,0.4126984126984127,0.3902439024390244,3,False,12,0,1,13.0,7.1,83.33333333333334,1,24.8,5.316666666666667,5.250653594771242,45.66993464052288,10.101633986928103,100.0,100.0,60.0,0,0.0
2025-12-11,2025-12-12,7.659760132299901,8.085478107035733,0.9473478291450217,2,0,0,0,0.0,0,2.0,8.0,1598.9819383968606,1610.2666875560008,0.0,0.49206349206349204,0.38095238095238093,4,False,12,0,2,12.4,7.1,4.166666666666666,1,12.2,4.764705882352943,5.275490196078431,-33.89161220043574,-2.5062091503268,25.0,0.0,0.0,1,67.0
2025-12-12,2025-12-13,22.494820099224924,12.14854858241258,1.8516467170235145,0,1,1,1,1.0,0,2.0,8.0,3637.7364537976455,2171.9034677245522,67.0,0.4444444444444444,0.3953488372093023,5,False,12,0,0,,,,0,,,,,,,,,1,45.0
2025-12-13,2025-12-14,28.121115074418693,14.41416592155654,1.950935990847952,0,2,1,1,2.0,1,3.0,9.0,3215.052340348234,2156.3928837435487,45.0,0.2857142857142857,0.4090909090909091,6,False,12,0,1,11.1,5.9,33.33333333333333,1,11.8,3.5771241830065357,4.171895424836602,-5.487472766884544,-3.11470588235294,50.0,42.857142857142854,40.0,0,0.0
2025-12-14,2025-12-15,21.09083630581402,13.42008551317333,1.5715873259608504,1,0,0,0,1.0,0,3.0,9.0,2411.2892552611756,2007.6761331405453,0.0,0.3333333333333333,0.4,0,False,12,0,2,14.3,8.2,75.0,1,34.3,6.834967320261438,6.55359477124183,36.42429193899782,19.417647058823526,100.0,85.71428571428571,40.0,0,0.0
2025-12-15,2025-12-16,15.818127229360513,12.494562374333789,1.2660009014684628,2,0,0,0,0.0,0,3.0,9.0,1808.4669414458817,1869.2157101653352,0.0,0.3968253968253968,0.391304347826087,1,True,12,0,3,11.7,6.7,87.5,1,24.2,4.295098039215687,5.101633986928105,48.96514161220044,9.337908496732028,25.0,100.0,100.0,0,0.0
2025-12-16,2025-12-17,11.863595422020385,11.632868417483182,1.0198340595162616,3,0,0,0,0.0,0,2.0,9.0,1356.3502060844112,1740.3042818780707,0.0,0.5396825396825397,0.3829787234042553,2,True,12,0,4,11.5,5.2,33.33333333333333,1,31.5,4.141176470588235,3.6486928104575167,-5.05174291938998,16.629738562091504,50.0,0.0,0.0,1,1.0
2025-12-17,2025-12-18,9.14769656651529,10.899567147311927,0.8392715456385176,4,1,1,0,1.0,0,3.0,10.0,1242.7626545633084,1682.4901934726865,1.0,0.40625,0.3958333333333333,3,True,12,0,5,10.4,4.6,83.33333333333334,1,29.7,3.1114379084967334,3.0705882352941174,44.88017429193901,14.827450980392156,100.0,100.0,100.0,1,48.0
2025-12-18,2025-12-19,18.860772424886466,13.458217688876621,1.4014316650915166,0,2,1,1,2.0,1,4.0,10.0,3338.3219909224813,2230.24949047457,48.0,0.5,0.40816326530612246,4,True,12,0,0,6.6,2.7,37.5,1,21.3,-0.6065359477124179,1.208496732026144,-1.2254901960784323,6.397385620915031,25.0,28.57142857142857,40.0,1,49.0
2025-12-19,2025-12-20,26.39557931866485,15.90937508964375,1.659121063519781,0,3,1,1,2.0,1,4.0,11.0,4895.991493191861,2736.3702152694273,49.0,0.453125,0.42,5,True,12,0,0,6.9,2.6,62.5,1,18.9,-0.31666666666666554,1.1500000000000001,24.414488017429193,4.028104575163397,50.0,42.857142857142854,100.0,1,26.0
2025-12-20,2025-12-21,26.296684488998636,16.605280255875215,1.5836338853536933,1,4,1,0,2.0,1,4.0,12.0,5339.743619893896,3007.723993526708,26.0,0.28125,0.43137254901960786,6,True,12,0,1,8.4,3.7,70.83333333333334,1,14.3,1.1764705882352944,2.2401960784313726,32.679738562091515,-0.6294117647058837,25.0,71.42857142857143,100.0,0,0.0
2025-12-21,2025-12-22,19.722513366748977,15.460088514090717,1.2757050743126974,2,0,0,0,1.0,0,4.0,11.0,4004.807714920422,2800.2947525938316,0.0,0.328125,0.4230769230769231,0,True,12,0,2,10.5,2.0,45.83333333333333,1,18.9,3.3199346405228747,0.5287581699346406,7.066993464052281,3.8898692810457494,0.0,28.57142857142857,80.0,1,38.0
2025-12-22,2025-12-23,24.29188502506173,17.01456516829136,1.4277111865504803,3,1,1,0,1.0,0,5.0,12.0,5121.355786190316,3191.377873104602,38.0,0.390625,0.4339622641509434,1,True,12,0,3,6.7,0.5,25.0,1,10.1,-0.4480392156862747,-0.9673202614379084,-13.997821350762528,-4.930392156862743,25.0,0.0,0.0,0,0.0
2025-12-23,2025-12-24,18.2189137687963,15.841146880822988,1.1501006780545537,4,0,0,0,1.0,0,5.0,12.0,3841.016839642737,2971.2828473732498,0.0,0.546875,0.42592592592592593,2,True,12,0,4,8.4,1.6,41.66666666666667,1,22.4,1.2666666666666666,0.15522875816993476,2.5599128540305145,7.401960784313726,100.0,71.42857142857143,0.0,0,0.0
2025-12-24,2025-12-25,13.664185326597224,14.748653992490368,0.9264699906550572,5,0,0,0,0.0,0,4.0,11.0,2880.762629732053,2766.3667889337153,0.0,0.4153846153846154,0.41818181818181815,3,True,12,0,5,4.9,-0.2,16.666666666666664,1,11.0,-2.203921568627451,-1.637908496732026,-23.03921568627451,-3.997712418300651,0.0,28.57142857142857,40.0,0,0.0
2025-12-25,2025-12-26,10.248138994947919,13.731505441284135,0.7463230480276851,6,0,0,0,0.0,0,3.0,11.0,2160.5719722990398,2575.582872455528,0.0,0.5076923076923077,0.4107142857142857,4,True,12,0,6,6.0,0.9,37.5,1,24.7,-1.1019607843137251,-0.5274509803921569,-1.9063180827886654,9.708496732026141,0.0,57.14285714285714,40.0,0,0.0
2025-12-26,2025-12-27,7.686104246210939,12.78450506602316,0.6012046775778574,7,0,0,0,0.0,0,2.0,11.0,2349.17897922428,2598.990950217216,0.0,0.46153846153846156,0.40350877192982454,5,True,12,0,7,3.0,-2.4,33.33333333333333,1,8.0,-4.106535947712418,-3.8130718954248364,-5.759803921568633,-7.036274509803922,75.0,0.0,0.0,0,0.0
2025-12-27,2025-12-28,5.7645781846582045,11.902815061469838,0.4843037680488297,8,0,0,0,0.0,0,1.0,10.0,1761.8842344182099,2419.7501950298215,0.0,0.27692307692307694,0.39655172413793105,6,True,12,0,8,2.5,-4.0,8.333333333333332,1,6.2,-4.627450980392157,-5.419281045751634,-30.991285403050103,-8.848366013071896,0.0,0.0,20.0,0,0.0
